# 678 rectangular buckets with a mean size of 42.67 x 6.81 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
1.000, 0.500, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 0.540, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.580, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.620, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.660, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.700, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.740, 0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 0.780, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.820, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.860, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.900, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.940, 0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 0.980, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.020, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.060, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.100, 155326.1, 194571.2, -31694.3, 37020.4, 0, 42, 7
1.000, 1.140, 1490606.2, 757218.2, 111.2, 165294.3, 0, 42, 6
1.000, 1.180, 198995.6, 242182.3, -33162.8, 43322.5, 0, 42, 7
1.000, 1.220, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.260, 317109.8, 240334.9, -43838.6, 57483.9, 0, 42, 7
1.000, 1.300, 193387.0, 195401.8, -16584.6, 39062.8, 0, 42, 7
1.000, 1.340, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 1.380, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.420, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.460, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.500, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.540, -4585.7, 20537.7, -28296.3, 5982.0, 0, 42, 7
1.000, 1.580, 547420.4, 593363.3, -2136.0, 92083.3, 0, 42, 6
1.000, 1.620, 421732.3, 494383.6, -16864.0, 75144.9, 0, 42, 7
1.000, 1.660, 784659.6, 703172.1, -2731.2, 113143.2, 0, 42, 7
1.000, 1.700, -12827.6, 390.1, -25522.0, 3843.4, 0, 42, 7
1.000, 1.740, -14136.7, 52537.1, -141683.6, 16124.0, 0, 42, 7
1.000, 1.780, 592309.3, 909620.0, -88140.1, 120107.8, 0, 42, 6
1.000, 1.820, -9183.8, 20556.8, -100446.0, 7651.6, 0, 42, 7
1.000, 1.860, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.900, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.940, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.980, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 2.020, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.060, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.100, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.140, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.180, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.220, 650879.1, 554354.8, -31183.9, 90889.5, 1, 42, 6
1.000, 2.260, 910064.4, 659150.8, -70850.5, 133420.1, 1, 42, 7
1.000, 2.300, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.340, -10937.8, 17225.4, -41819.7, 8368.3, 0, 42, 7
1.000, 2.380, 1211505.7, 736378.2, -1087.1, 155557.1, 0, 42, 7
1.000, 2.420, -17133.3, 62938.8, -71123.7, 8422.5, 0, 42, 6
1.000, 2.460, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
