# 26 in Peak list
0, 0, 120.21, 7.76, 306463159.74
1, 1, 115.84, 5.15, 244051123.53
2, 2, 115.84, 5.14, 218748192.81
3, 3, 115.84, 5.12, 192294091.53
4, 4, 115.85, 5.10, 217205872.78
5, 5, 71.85, 5.78, 927608603.20
6, 6, 61.44, 3.19, 275323469.63
7, 7, 56.57, 3.98, 366064518.90
8, 8, 54.94, 5.49, 1578125279.67
9, 9, 50.87, 2.89, 215402218.63
10, 10, 50.49, 3.00, 393547538.89
11, 11, 50.37, 3.67, 159560163.52
12, 12, 50.37, 3.63, 175369515.15
13, 13, 49.40, 3.31, 1488143083.93
14, 14, 40.92, 2.39, 230990113.31
15, 15, 30.83, 1.28, 154631524.72
16, 16, 29.58, 1.79, 499037989.24
17, 17, 26.64, 1.66, 197940663.31
18, 18, 26.64, 1.63, 128871480.16
19, 19, 26.66, 1.59, 179324633.02
20, 20, 26.65, 1.58, 152341529.26
21, 21, 21.33, 2.25, 179840599.70
22, 22, 21.33, 2.25, 178117166.43
23, 23, 21.33, 1.15, 134767053.90
24, 24, -0.00, 0.03, 151166973.06
25, 25, 0.00, 0.00, 3679984376.02
