# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, -8460216.3, -161761.4, -961735.1, 175918.8, 0, 14, 8
-10.000, 0.540, -3970770.1, 436555.8, -891165.4, 360057.1, 0, 14, 7
-10.000, 0.580, -7443855.4, 120646.2, -1035724.2, 203669.2, 0, 14, 8
-10.000, 0.620, -7476940.2, 146178.6, -1399252.1, 319295.0, 0, 14, 7
-10.000, 0.660, -3272187.8, 736621.4, -738796.8, 329778.0, 0, 14, 8
-10.000, 0.700, -4964057.6, 490127.2, -735426.7, 309885.3, 0, 14, 7
-10.000, 0.740, -6180545.8, 176104.6, -881040.6, 270025.1, 0, 14, 7
-10.000, 0.780, -4366428.5, 222088.4, -716445.4, 238710.3, 0, 14, 8
-10.000, 0.820, -10652456.8, -143921.3, -1612277.2, 396785.9, 0, 14, 7
-10.000, 0.860, -6312894.7, -136950.1, -763591.7, 142282.6, 0, 14, 8
-10.000, 0.900, -5076559.9, -120055.7, -669385.9, 138723.0, 0, 14, 7
-10.000, 0.940, -4638398.8, 119775.4, -741318.7, 199372.8, 0, 14, 8
-10.000, 0.980, -6415931.8, -78825.3, -838970.0, 190740.7, 0, 14, 7
-10.000, 1.020, -5195012.5, 233661.3, -812348.8, 269029.1, 0, 14, 8
-10.000, 1.060, -4497628.3, 29208.2, -678278.2, 203727.2, 0, 14, 7
-10.000, 1.100, -241779.9, 872821.6, -560591.6, 340563.4, 0, 14, 8
-10.000, 1.140, -4060036.3, 550577.1, -659702.4, 254882.5, 0, 14, 7
-10.000, 1.180, -855786.3, 663193.5, -449073.4, 257714.6, 0, 14, 7
-10.000, 1.220, -21603264.9, 35750.2, -3601360.3, 1259826.2, 0, 14, 8
-10.000, 1.260, -3200044.7, 106360.9, -641483.5, 162864.8, 0, 14, 7
-10.000, 1.300, -3349953.8, 275892.7, -593681.6, 251736.8, 0, 14, 8
-10.000, 1.340, -1731693.1, 399213.5, -514296.8, 243714.9, 0, 14, 7
-10.000, 1.380, 2624543.4, 1237280.1, -378911.8, 455127.1, 0, 14, 8
-10.000, 1.420, -2572729.1, 248738.8, -477730.8, 182409.8, 0, 14, 7
-10.000, 1.460, -2905781.1, 669327.2, -613533.6, 259120.8, 0, 14, 8
-10.000, 1.500, -1079230.3, 610715.5, -549905.5, 281453.2, 0, 14, 7
-10.000, 1.540, -4939589.3, 453023.3, -589156.3, 171319.0, 0, 14, 8
-10.000, 1.580, -2862097.9, 609769.3, -621158.1, 273291.8, 0, 14, 7
-10.000, 1.620, -1596947.9, 635228.7, -568198.1, 262250.8, 0, 14, 7
-10.000, 1.660, -1894717.6, 505816.6, -656394.4, 197718.5, 0, 14, 8
-10.000, 1.700, -4197860.4, 106442.7, -572733.0, 185913.4, 0, 14, 7
-10.000, 1.740, -2858189.2, 20247.9, -572203.6, 163741.5, 0, 14, 8
-10.000, 1.780, -6153767.1, -139588.3, -684167.9, 118428.0, 0, 14, 7
-10.000, 1.820, -2904146.2, 278654.9, -482474.8, 203992.4, 0, 14, 8
-10.000, 1.860, -3945763.6, 438515.8, -594783.8, 201450.6, 0, 14, 7
-10.000, 1.900, 368027.7, 622801.1, -361954.3, 220585.4, 0, 14, 8
-10.000, 1.940, -1784428.1, 394893.6, -415909.2, 207242.2, 0, 14, 7
-10.000, 1.980, -948610.2, 384271.2, -387702.2, 187203.8, 0, 14, 8
-10.000, 2.020, 944557.1, 1201048.7, -443860.7, 481461.5, 0, 14, 7
-10.000, 2.060, 550323.0, 1219285.6, -601886.2, 523862.3, 0, 14, 7
-10.000, 2.100, 456152.8, 778859.0, -433164.8, 327297.3, 0, 14, 8
-10.000, 2.140, -4210347.1, -23647.0, -575812.0, 106483.3, 0, 14, 7
-10.000, 2.180, 845658.6, 1154066.5, -364427.2, 429893.0, 0, 14, 8
-10.000, 2.220, -1565657.2, 796756.2, -558501.9, 348519.6, 0, 14, 7
-10.000, 2.260, -2601104.5, 781420.9, -521365.0, 306729.9, 0, 14, 8
-10.000, 2.300, -438902.9, 915806.3, -397684.9, 355733.3, 0, 14, 7
-10.000, 2.340, -1232485.9, 1093252.2, -512967.8, 341284.3, 0, 14, 8
-10.000, 2.380, 5018652.0, 1545219.8, -387210.1, 530763.1, 0, 14, 7
-10.000, 2.420, -1210823.1, 506845.9, -497416.0, 236747.6, 0, 14, 8
-10.000, 2.460, 5306400.5, 2088515.9, -433416.4, 668391.7, 0, 14, 7
-10.000, 2.500, -316474.9, 771428.7, -486052.4, 375917.8, 0, 14, 7
-10.000, 2.540, 1506430.5, 695728.9, -447123.4, 291859.2, 0, 14, 8
-10.000, 2.580, 1602964.3, 675877.9, -345887.5, 232085.1, 0, 14, 7
-10.000, 2.620, 2321083.2, 1333949.8, -425385.6, 482678.3, 0, 14, 8
-10.000, 2.660, -1508660.5, 265369.4, -347883.7, 172501.5, 0, 14, 7
-10.000, 2.700, -2297877.2, 417762.0, -582765.8, 249848.9, 0, 14, 8
-10.000, 2.740, -3236841.2, 611640.4, -521198.3, 248500.8, 0, 14, 7
-10.000, 2.780, -2689123.9, 349903.2, -556778.8, 216960.3, 0, 14, 8
-10.000, 2.820, -2511839.3, 755417.5, -687588.8, 333593.1, 0, 14, 7
-10.000, 2.860, -3996938.4, 592337.0, -909212.3, 428840.9, 0, 14, 7
-10.000, 2.900, -2166299.4, 303677.5, -428500.8, 182804.2, 0, 14, 8
-10.000, 2.940, 161957.7, 344138.4, -281762.8, 144746.7, 0, 14, 7
