# 51076 rectangular buckets with a mean size of 2.53 x 13.63 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
0.500, 0.500, -42269302.0, -65204.1, -71449.2, 1501.3, 0, 2, 13
0.500, 0.540, -42130459.9, -61769.4, -73282.6, 2810.3, 0, 2, 14
0.500, 0.580, -34820305.6, -37972.1, -70454.3, 8996.1, 0, 2, 13
0.500, 0.620, -36046100.8, -50365.0, -64615.8, 4224.3, 0, 2, 14
0.500, 0.660, -29103199.6, -41210.5, -56751.1, 3423.0, 0, 2, 14
0.500, 0.700, 2367555.6, 77515.4, -58838.7, 45034.5, 0, 2, 13
0.500, 0.740, 18823281.4, 219057.1, -59130.7, 86100.2, 0, 2, 14
0.500, 0.780, -12184165.0, 11784.3, -37408.6, 10242.1, 0, 2, 14
0.500, 0.820, 44632072.4, 322238.0, -31085.2, 108920.8, 0, 2, 13
0.500, 0.860, 261474901.1, 1043557.8, 91323.4, 274681.1, 0, 2, 14
0.500, 0.900, 200835761.2, 646270.0, 53816.4, 176604.1, 0, 2, 13
0.500, 0.940, 20787399.6, 154226.6, -13567.1, 38428.5, 0, 2, 14
0.500, 0.980, 283140126.8, 1143141.3, 16225.8, 326594.3, 0, 2, 14
0.500, 1.020, -5712240.5, 22435.4, -22251.6, 11885.8, 0, 2, 13
0.500, 1.060, -19477763.7, -14340.6, -44065.9, 7584.6, 0, 2, 14
0.500, 1.100, -10855710.5, -4972.8, -33129.2, 8336.8, 0, 2, 14
0.500, 1.140, -8567442.1, 21975.7, -35552.3, 14828.8, 0, 2, 13
0.500, 1.180, -56745907.8, 36024.9, -287427.0, 104550.7, 0, 2, 14
0.500, 1.220, 15438388.2, 70484.8, -9182.4, 22244.6, 0, 2, 13
0.500, 1.260, 38178471.8, 967628.3, -225775.2, 216072.1, 0, 2, 14
0.500, 1.300, 130636210.5, 3773355.5, -1929194.7, 1473177.4, 0, 2, 14
0.500, 1.340, -176459143.4, 21152.3, -1697988.5, 392432.5, 0, 2, 13
0.500, 1.380, 19507298.0, 63660.8, -30642.4, 26284.2, 0, 2, 14
0.500, 1.420, 14865333.3, 49393.9, 6368.5, 10897.1, 0, 2, 14
0.500, 1.460, 7641662.1, 21496.7, 3204.2, 5376.2, 0, 2, 13
0.500, 1.500, 14271028.3, 62427.2, -1497.3, 20302.3, 0, 2, 14
0.500, 1.540, 2077837.6, 17503.4, -10335.5, 6238.6, 0, 2, 13
0.500, 1.580, -84279.9, 26785.5, -19004.0, 13657.0, 0, 2, 14
0.500, 1.620, 36236208.5, 86496.6, 28730.0, 17300.3, 0, 2, 14
0.500, 1.660, 37789989.0, 86982.4, 41250.4, 10621.6, 0, 2, 13
0.500, 1.700, 19089831.3, 72036.3, 3975.3, 18113.0, 0, 2, 14
0.500, 1.740, 2131450.3, 10666.5, -3119.8, 3623.9, 0, 2, 14
0.500, 1.780, 1809937.2, 9283.8, -1904.9, 2837.8, 0, 2, 13
0.500, 1.820, -2235475.7, 1369.7, -8435.0, 2569.3, 0, 2, 14
