# 301 buckets with a mean size of 40.88 data points
center, bucket, max, min, std, peaks_nb, bucket_size
0.500, 198126.7, 13279.6, -1253.6, 4453.6, 0, 41
0.530, 173436.0, 11898.7, -1427.1, 4284.3, 0, 41
0.560, 144562.1, 12071.8, -3150.3, 7001.3, 0, 41
0.590, 132429.7, 10112.9, -1724.0, 3561.5, 0, 41
0.620, 108131.0, 8699.4, -3211.8, 4008.6, 0, 41
0.650, 76958.6, 9455.0, -4466.2, 6206.0, 0, 40
0.680, 54050.5, 6743.2, -3362.7, 3021.0, 0, 41
0.710, 79596.2, 14848.4, -4163.9, 4557.8, 0, 41
0.740, 252500.5, 17515.1, -3810.9, 6825.8, 5, 41
0.770, 366438.2, 18899.9, 2953.4, 4693.3, 5, 41
0.800, 124758.2, 14970.9, -1508.6, 4085.6, 0, 41
0.830, 1324083.0, 106417.8, 6071.0, 29898.6, 17, 41
0.860, 1214357.7, 79804.4, 6118.6, 17349.1, 11, 41
0.890, 2616746.3, 156450.9, 38437.4, 37424.4, 13, 40
0.920, 2863264.7, 162227.3, 22706.4, 44405.0, 16, 41
0.950, 1411493.8, 123930.2, 19580.8, 22986.3, 12, 41
0.980, 1553462.2, 136154.7, 22532.1, 29620.8, 17, 41
1.010, 2197738.6, 102818.9, 38194.2, 18402.3, 20, 41
1.040, 1465691.0, 51208.0, 37278.3, 3005.0, 19, 41
1.070, 4808718.4, 425638.1, 46160.6, 92145.9, 9, 41
1.100, 4235101.0, 257532.0, 69562.9, 49351.3, 10, 41
1.130, 4706323.3, 366149.6, 89464.5, 58486.6, 7, 41
1.160, 3627182.8, 178092.6, 81648.8, 17586.2, 13, 40
1.190, 6223977.6, 519151.2, 83932.2, 113576.7, 10, 41
1.220, 5226434.4, 518389.6, 102255.4, 79135.4, 11, 41
1.250, 4267849.3, 172824.9, 99182.7, 19551.4, 17, 41
1.280, 110929499.9, 22254609.9, 126792.1, 5270930.4, 11, 41
1.310, 298862364.7, 46628733.8, 857754.9, 10615355.6, 2, 41
1.340, 14178837.0, 820327.5, 222842.2, 170046.5, 12, 41
