# 301 buckets with a mean size of 40.88 data points
center, bucket, max, min, std, peaks_nb, bucket_size
0.500, 3305.5, 244.7, -24.8, 60.9, 0, 41
0.530, 4632.2, 319.3, -35.7, 69.4, 0, 41
0.560, 5243.0, 285.0, 16.6, 54.6, 0, 41
0.590, 5335.3, 274.7, -2.0, 53.0, 0, 41
0.620, 5474.5, 245.3, 62.7, 44.9, 0, 40
0.650, 7110.7, 342.6, 86.0, 61.8, 0, 41
0.680, 7517.2, 392.3, 120.4, 56.0, 0, 41
0.710, 8805.9, 408.1, 122.6, 62.9, 0, 41
0.740, 9449.2, 398.5, 200.8, 45.7, 0, 41
0.770, 10918.7, 491.5, 172.8, 73.4, 0, 41
0.800, 15124.2, 600.7, 333.4, 60.7, 0, 41
0.830, 27695.9, 2216.9, 433.4, 373.4, 1, 41
0.860, 30670.2, 1438.5, 650.2, 156.4, 0, 41
0.890, 48928.3, 2192.2, 911.4, 335.8, 5, 40
0.920, 1583101.1, 279287.9, 2281.7, 65141.0, 4, 41
0.950, 611988.0, 130902.3, 747.2, 31119.4, 1, 41
0.980, 17827.1, 687.5, 357.0, 69.2, 0, 41
1.010, 41184.2, 2506.8, 577.7, 492.3, 3, 41
1.040, 68030.1, 2491.4, 1466.6, 223.5, 7, 41
1.070, 250306.4, 21174.6, 2321.3, 6124.4, 4, 41
1.100, 1525136.4, 118345.9, 12566.7, 34088.7, 4, 41
1.130, 3887621.1, 208318.4, 63640.8, 35566.4, 7, 40
1.160, 715666.7, 105930.0, 281.5, 34861.5, 1, 41
1.190, 5009.5, 486.5, -44.1, 150.0, 0, 41
1.220, 19566.4, 1048.1, 340.1, 172.9, 0, 41
1.250, 12675.7, 720.1, 95.2, 160.6, 0, 41
1.280, 37197.1, 3167.8, 361.2, 668.2, 1, 41
1.310, 26876.0, 920.8, 687.6, 51.9, 0, 41
1.340, 28270.9, 976.3, 737.1, 58.2, 0, 41
1.370, 32443.2, 1197.9, 799.1, 85.2, 0, 40
1.400, 46571.2, 1887.8, 1171.2, 190.8, 4, 41
1.430, 80039.7, 3254.1, 1712.4, 415.4, 12, 41
1.460, 134353.6, 8268.4, 2661.4, 1627.2, 5, 41
1.490, 725863.1, 44156.7, 6933.3, 9788.4, 2, 41
1.520, 3910657.2, 199308.0, 48795.8, 47131.3, 6, 41
1.550, 4325258.9, 318883.6, 42693.2, 75923.2, 5, 41
1.580, 4731104.1, 212089.6, 71115.1, 34848.1, 5, 41
1.610, 1281595.7, 91668.4, 2890.4, 31634.2, 5, 41
1.640, 64311.7, 3747.6, 672.8, 1143.4, 2, 40
1.670, 52635.7, 2130.0, 869.8, 387.3, 6, 41
1.700, 578606.7, 48278.2, 1967.8, 17779.4, 1, 41
1.730, 4917622.6, 292873.0, 18264.5, 91149.5, 2, 41
1.760, 60591.5, 13260.7, -216.1, 2962.8, 0, 41
1.790, -7527.2, -77.4, -367.8, 62.4, 0, 41
1.820, 19224.7, 1602.7, -179.5, 656.2, 2, 41
1.850, 5562.4, 986.9, -25.1, 236.6, 0, 41
1.880, 3698.9, 298.2, -44.1, 83.7, 0, 40
1.910, 8206.7, 443.0, 54.6, 88.2, 0, 41
1.940, 11810.7, 504.8, 209.7, 82.0, 0, 41
1.970, 14055.3, 580.1, 241.9, 56.1, 0, 41
2.000, 16875.4, 660.1, 295.9, 77.2, 0, 41
2.030, 24819.7, 897.8, 598.1, 75.9, 0, 41
2.060, 30275.7, 1121.3, 656.2, 103.5, 0, 41
2.090, 60056.5, 3127.9, 982.2, 567.6, 4, 41
2.120, 578651.4, 29161.5, 3243.6, 8243.8, 4, 41
2.150, 333222.5, 26152.9, 3533.5, 6948.0, 2, 40
2.180, 2072451.2, 173197.4, 4479.4, 56077.9, 2, 41
2.210, 3383787.2, 207603.9, 6364.7, 63348.7, 4, 41
2.240, 108880.8, 5592.8, 1460.7, 1105.4, 5, 41
2.270, 243518.2, 57831.6, 1338.8, 12501.6, 0, 41
2.300, 3791733.3, 193370.1, 36787.7, 50725.0, 3, 41
2.330, 850711.0, 80778.7, 406.4, 28096.9, 1, 41
2.360, 1153.8, 365.2, -159.4, 136.2, 0, 41
2.390, 18460.7, 1038.3, -24.8, 320.9, 0, 40
2.420, 5279.7, 572.1, -68.6, 170.5, 0, 41
2.450, 908.2, 205.8, -100.3, 61.1, 0, 41
2.480, 5422.7, 286.8, -16.8, 65.7, 0, 41
2.510, 7944.5, 365.2, 155.3, 58.0, 0, 41
2.540, 9492.8, 431.5, 149.5, 63.1, 0, 41
2.570, 12793.1, 473.7, 219.0, 57.0, 0, 41
2.600, 16648.1, 637.6, 317.2, 64.0, 0, 41
2.630, 22995.1, 880.9, 491.6, 96.6, 0, 41
2.660, 41851.8, 1906.7, 872.0, 318.5, 2, 40
2.690, 60749.5, 2253.2, 1450.2, 210.2, 7, 41
2.720, 68060.7, 2971.2, 1595.1, 368.2, 8, 41
2.750, 1005018.5, 126630.3, 3141.2, 33239.4, 2, 41
2.780, 4342249.7, 211228.0, 33512.0, 49304.3, 6, 41
2.810, 1026391.4, 143836.8, 4119.1, 37586.0, 3, 41
2.840, 415594.4, 37786.8, 3935.7, 10602.3, 1, 41
2.870, 8186523.6, 491842.5, 43032.2, 109295.4, 6, 41
2.900, 3884474.6, 312735.6, 10217.3, 84526.8, 5, 40
2.930, 108349.2, 8966.5, 213.6, 2474.6, 3, 41
2.960, 37557.2, 2289.1, 203.0, 672.9, 3, 41
2.990, 63043.8, 3687.1, 657.8, 834.1, 4, 41
3.020, 38485.9, 2189.5, 540.9, 527.2, 3, 41
3.050, 1143690.5, 138526.3, 2404.3, 39757.5, 3, 41
3.080, 4379224.8, 230111.0, 66441.5, 49695.4, 5, 41
3.110, 317772.7, 96242.1, 136.9, 20889.2, 0, 41
3.140, 3075.3, 366.3, -91.9, 95.9, 0, 41
3.170, 29666.4, 1450.2, 455.8, 282.7, 0, 40
3.200, 62275.1, 6962.9, 476.7, 1651.7, 5, 41
3.230, 31969.0, 1527.0, 619.3, 267.0, 0, 41
3.260, 448228.8, 23844.7, 1513.2, 8188.2, 4, 41
3.290, 3814120.0, 843445.6, 11734.4, 212056.8, 7, 41
3.320, 5219727.4, 1215807.2, 4059.4, 289471.2, 6, 41
3.350, 51551.4, 4047.6, 347.4, 1091.7, 2, 41
3.380, 13074.9, 1025.6, 58.2, 281.2, 0, 41
3.410, 70293.6, 7595.7, 381.4, 1871.3, 5, 40
3.440, 16794.4, 917.8, 175.8, 164.7, 0, 41
3.470, 98968.3, 13750.5, 871.5, 2867.7, 0, 41
3.500, 3875167.0, 173211.4, 17698.7, 47028.8, 6, 41
3.530, 1367063.5, 156763.5, 1454.8, 52818.6, 3, 41
3.560, 53125.2, 2735.2, 491.9, 621.4, 5, 41
3.590, 19989.9, 1857.3, 34.4, 465.3, 2, 41
3.620, 8556.4, 776.2, -147.5, 291.7, 0, 41
3.650, -4371.5, -14.2, -245.0, 55.6, 0, 41
3.680, -2887.5, 34.2, -245.0, 59.5, 0, 40
3.710, -935.7, 119.4, -126.2, 58.3, 0, 41
3.740, -516.8, 77.3, -131.9, 52.3, 0, 41
3.770, -647.6, 75.8, -157.9, 55.0, 0, 41
3.800, 895.6, 153.2, -118.4, 65.2, 0, 41
3.830, 1032.2, 183.0, -93.5, 65.8, 0, 41
3.860, 3241.4, 476.9, -87.7, 108.2, 0, 41
3.890, 2295.5, 195.0, -42.4, 52.1, 0, 41
3.920, 3885.0, 253.7, -55.5, 70.3, 0, 40
3.950, 35127.0, 13119.7, 91.7, 2265.7, 0, 41
3.980, 224399.9, 76132.5, 178.2, 16960.8, 1, 41
4.010, 4888.7, 276.3, 34.4, 49.9, 0, 41
4.040, 3007.6, 210.5, -42.2, 62.2, 0, 41
4.070, 4498.9, 545.9, -4.9, 117.8, 0, 41
4.100, 3078.4, 175.8, 5.7, 43.3, 0, 41
4.130, 2733.4, 230.3, -17.0, 56.7, 0, 41
4.160, 2332.4, 189.1, -77.5, 63.8, 0, 41
4.190, 2907.8, 210.8, -25.2, 46.3, 0, 40
4.220, 2752.4, 233.0, -34.9, 62.9, 0, 41
4.250, 2586.1, 211.8, -39.9, 54.7, 0, 41
4.280, 2837.8, 235.8, -49.2, 59.4, 0, 41
4.310, 2489.9, 264.8, -34.2, 63.1, 0, 41
4.340, 3375.9, 227.2, -37.6, 58.9, 0, 41
4.370, 2919.0, 209.7, -38.3, 58.0, 0, 41
4.400, 4138.1, 224.2, -72.6, 61.5, 0, 41
4.430, 3678.4, 246.7, 2.0, 60.6, 0, 40
4.460, 3420.8, 196.9, -2.1, 51.0, 0, 41
4.490, 4551.2, 283.5, -12.4, 61.0, 0, 41
4.520, 6524.8, 360.1, 76.4, 68.8, 0, 41
4.550, 8433.8, 403.5, 95.9, 66.1, 0, 41
4.580, 13579.9, 580.5, 202.7, 82.6, 0, 41
4.610, 18110.8, 658.4, 365.4, 69.2, 0, 41
4.640, 21037.2, 806.9, 508.2, 67.4, 0, 41
4.670, 18279.9, 688.6, 331.6, 77.7, 0, 40
4.700, 18893.0, 737.1, 416.2, 81.0, 0, 41
4.730, 21238.6, 811.3, 406.8, 84.7, 0, 41
4.760, 27163.5, 1188.5, 554.5, 171.5, 0, 41
4.790, 40570.1, 1586.1, 940.3, 153.4, 1, 41
4.820, 66223.6, 2853.0, 1430.5, 368.4, 15, 41
4.850, 180101.3, 10099.2, 2626.7, 2097.8, 16, 41
4.880, 12875885.1, 2180206.9, 11310.5, 607969.0, 1, 41
4.910, 728027.5, 79688.2, 4416.6, 19017.1, 0, 41
4.940, 95587.2, 4493.5, 1246.3, 828.7, 8, 40
4.970, 48140.0, 2897.1, 574.6, 716.6, 3, 41
5.000, 36529.3, 2532.4, 459.6, 643.0, 1, 41
5.030, 37138.1, 2424.9, 623.1, 410.4, 6, 41
5.060, 2561507.5, 305845.6, 1918.0, 100555.0, 6, 41
5.090, 3850051.2, 325702.2, 11478.4, 117602.5, 4, 41
5.120, 2280914.0, 349454.7, 3456.6, 103358.5, 2, 41
5.150, 37499.7, 2852.3, 274.4, 762.3, 2, 41
5.180, 31697.3, 2071.1, 147.7, 683.9, 4, 40
5.210, 16550.1, 1984.7, -26.0, 565.3, 1, 41
5.240, 13543.1, 1989.0, -45.8, 598.7, 1, 41
5.270, 1697.2, 210.2, -46.7, 62.7, 0, 41
5.300, 1520.6, 209.4, -93.2, 66.6, 0, 41
5.330, 1497.8, 142.1, -186.7, 60.0, 0, 41
5.360, 3483.2, 211.1, -57.0, 71.8, 0, 41
5.390, 2438.0, 230.8, -82.8, 61.1, 0, 41
5.420, 4023.1, 254.6, 20.8, 54.7, 0, 41
5.450, 3625.3, 211.5, 3.3, 52.2, 0, 40
5.480, 4562.9, 294.1, -44.4, 59.8, 0, 41
5.510, 5484.5, 278.2, 28.0, 62.3, 0, 41
5.540, 5693.8, 340.5, 60.1, 68.5, 0, 41
5.570, 13029.6, 823.1, 107.5, 210.0, 0, 41
5.600, 52215.6, 3213.8, 518.3, 889.1, 3, 41
5.630, 87670.8, 7009.9, 693.9, 2096.1, 3, 41
5.660, 60765.0, 7381.1, 730.0, 1381.5, 2, 41
5.690, 5405973.1, 498529.7, 9870.6, 157507.4, 4, 40
5.720, 210043.9, 30850.6, 1207.2, 6658.1, 0, 41
5.750, 23981.3, 1324.2, 335.0, 266.7, 0, 41
