# 51076 rectangular buckets with a mean size of 3.19 x 13.63 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
0.500, 0.500, 2840515.3, 7703.9, 1753.9, 1199.1, 0, 3, 14
0.500, 0.540, 2665460.8, 7191.8, -738.0, 2117.2, 0, 3, 14
0.500, 0.580, 3743428.1, 13470.4, -447.4, 2982.6, 0, 3, 13
0.500, 0.620, 5666622.5, 17941.6, 4080.5, 4046.9, 0, 3, 14
0.500, 0.660, 3749690.3, 9968.7, 828.0, 2529.0, 0, 3, 14
0.500, 0.700, 4832808.6, 10794.8, 3946.0, 1928.0, 0, 3, 13
0.500, 0.740, 5577156.4, 12989.7, 5529.7, 2001.5, 0, 3, 14
0.500, 0.780, 7526487.4, 15542.9, 7926.6, 1812.5, 0, 3, 13
0.500, 0.820, 11165002.6, 25876.6, 13101.5, 2946.4, 0, 3, 14
0.500, 0.860, 15344718.2, 42822.7, 16426.1, 7163.3, 0, 3, 14
0.500, 0.900, 108837908.8, 775852.4, 31053.9, 217705.2, 0, 3, 13
0.500, 0.940, 482334315.7, 1932669.9, 48451.7, 595542.7, 0, 3, 14
0.500, 0.980, 12803783.3, 48000.2, 5213.8, 9968.8, 0, 3, 14
0.500, 1.020, 3750393.2, 8607.8, 3160.9, 1253.6, 0, 3, 13
0.500, 1.060, 11970240.1, 50739.4, 4974.7, 15583.7, 0, 3, 14
0.500, 1.100, 71360017.5, 284528.4, 17405.6, 90428.6, 0, 3, 13
0.500, 1.140, 82728627.7, 196180.7, 54839.8, 34313.7, 0, 3, 14
0.500, 1.180, 8360402.2, 40483.5, 6066.6, 8111.2, 0, 3, 14
0.500, 1.220, 2585437.1, 6734.8, 2388.3, 956.2, 0, 3, 13
0.500, 1.260, 1001811.2, 5771.4, -1538.5, 2006.6, 0, 3, 14
0.500, 1.300, 797104.4, 4457.2, -1847.3, 1823.2, 0, 3, 14
0.500, 1.340, 2172759.0, 4690.4, 2268.9, 599.0, 0, 3, 13
0.500, 1.380, 4293199.8, 9281.3, 4273.9, 1161.2, 0, 3, 14
0.500, 1.420, 6893944.2, 15824.0, 6183.7, 2524.2, 0, 3, 13
0.500, 1.460, 15563743.7, 49069.5, 12879.3, 10945.7, 0, 3, 14
0.500, 1.500, 38985692.9, 94502.9, 42677.9, 13649.4, 0, 3, 14
0.500, 1.540, 123284428.2, 409173.3, 74666.8, 105633.3, 0, 3, 13
0.500, 1.580, 78766171.0, 201348.0, 39356.2, 39864.1, 0, 3, 14
0.500, 1.620, 29181199.9, 104965.9, 14970.9, 31454.0, 0, 3, 14
0.500, 1.660, 4970701.0, 16432.7, 1899.6, 4056.1, 0, 3, 13
0.500, 1.700, 26948395.9, 156343.0, 7601.3, 37039.7, 0, 3, 14
0.500, 1.740, 90574685.0, 271824.6, 17721.1, 92306.8, 0, 3, 13
0.500, 1.780, 9075067.6, 21764.1, 10240.6, 2286.4, 0, 3, 14
0.500, 1.820, 5792136.7, 12140.8, 6876.2, 1571.8, 0, 3, 14
0.500, 1.860, 3967765.5, 9580.4, 2617.3, 1769.3, 0, 3, 13
0.500, 1.900, 2759192.7, 7504.7, 1501.0, 1665.6, 0, 3, 14
0.500, 1.940, 4101752.6, 21227.6, -430.6, 6429.9, 0, 3, 14
0.500, 1.980, 197983.1, 2901.0, -1979.0, 1399.0, 0, 3, 13
0.500, 2.020, 297879.2, 2811.6, -2658.3, 1548.5, 0, 3, 14
0.500, 2.060, 1842281.9, 8983.6, -2160.8, 2550.3, 0, 3, 13
