# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, 1804954.4, 766664.1, -345570.0, 254247.4, 0, 14, 8
-10.000, 0.540, 2555216.4, 639405.6, -134190.2, 215666.4, 0, 14, 7
-10.000, 0.580, 267934.8, 378435.9, -291512.1, 163439.8, 0, 14, 7
-10.000, 0.620, -991313.2, 375621.3, -310857.8, 132483.0, 0, 14, 8
-10.000, 0.660, 944421.9, 643937.5, -196295.5, 204595.0, 0, 14, 7
-10.000, 0.700, -659438.1, 388838.2, -282391.5, 131701.9, 0, 14, 8
-10.000, 0.740, -32361.8, 378841.8, -303732.4, 158853.7, 0, 14, 7
-10.000, 0.780, -202294.7, 357837.4, -276212.3, 127127.6, 0, 14, 8
-10.000, 0.820, -1885379.4, 59192.3, -270883.7, 71275.8, 0, 14, 7
-10.000, 0.860, 594448.0, 726719.5, -431415.1, 273170.4, 0, 14, 8
-10.000, 0.900, -1724333.8, 259549.8, -371253.8, 147822.0, 0, 14, 7
-10.000, 0.940, 990400.3, 520292.9, -277916.3, 182158.5, 0, 14, 8
-10.000, 0.980, -1163702.0, 218370.6, -245003.1, 101821.8, 0, 14, 7
-10.000, 1.020, -65959.6, 411593.0, -300049.5, 162330.9, 0, 14, 7
-10.000, 1.060, -1131892.5, 519780.0, -307137.0, 182528.2, 0, 14, 8
-10.000, 1.100, 2137244.0, 1094333.1, -231299.0, 379914.5, 0, 14, 7
-10.000, 1.140, -30052.5, 797717.4, -204777.2, 245274.1, 0, 14, 8
-10.000, 1.180, 1947201.0, 677899.9, -344060.8, 298014.6, 0, 14, 7
-10.000, 1.220, 235859.0, 365255.6, -194361.2, 152751.9, 0, 14, 8
-10.000, 1.260, 781149.3, 755301.0, -307588.1, 251836.7, 0, 14, 7
-10.000, 1.300, 1495956.8, 614613.7, -221685.2, 204087.2, 0, 14, 8
-10.000, 1.340, 2509170.7, 807422.0, -243112.5, 296361.3, 0, 14, 7
-10.000, 1.380, -1183086.9, 337670.9, -371298.1, 179420.9, 0, 14, 8
-10.000, 1.420, 232311.7, 321368.1, -274284.8, 160743.6, 0, 14, 7
-10.000, 1.460, -615477.8, 216801.6, -251811.2, 112861.5, 0, 14, 7
-10.000, 1.500, -632128.5, 383972.3, -357823.0, 168962.0, 0, 14, 8
-10.000, 1.540, 2402176.7, 624736.7, -118254.4, 204752.0, 0, 14, 7
-10.000, 1.580, -623329.3, 372812.0, -384790.1, 182608.1, 0, 14, 8
-10.000, 1.620, -97413.5, 538015.2, -254943.6, 206003.4, 0, 14, 7
-10.000, 1.660, -1505926.0, 131501.9, -325639.3, 99104.5, 0, 14, 8
-10.000, 1.700, 535982.7, 567345.0, -231801.1, 188579.2, 0, 14, 7
-10.000, 1.740, -1282651.0, 258727.5, -396114.7, 161287.2, 0, 14, 8
-10.000, 1.780, -121080.6, 336818.0, -246050.9, 144954.2, 0, 14, 7
-10.000, 1.820, -279074.0, 357551.7, -371476.2, 150733.4, 0, 14, 8
-10.000, 1.860, -153570.6, 653946.9, -491023.6, 312322.3, 0, 14, 7
-10.000, 1.900, 2549002.7, 787414.5, -216933.7, 274022.8, 0, 14, 7
-10.000, 1.940, 578512.2, 668331.3, -348556.4, 276670.7, 0, 14, 8
-10.000, 1.980, 1386723.1, 565114.5, -266924.8, 209835.1, 0, 14, 7
-10.000, 2.020, 109749.6, 629224.8, -310213.9, 250858.9, 0, 14, 8
-10.000, 2.060, -483175.5, 778699.9, -308312.3, 216795.2, 0, 14, 7
-10.000, 2.100, -1103097.6, 59650.1, -203469.8, 74850.1, 0, 14, 8
-10.000, 2.140, -753642.2, 201981.1, -332984.9, 109492.4, 0, 14, 7
-10.000, 2.180, -812997.1, 441320.1, -373630.1, 156546.1, 0, 14, 8
-10.000, 2.220, -418716.1, 577713.3, -201718.4, 148142.0, 0, 14, 7
-10.000, 2.260, -1587292.5, 507462.3, -305050.0, 164645.9, 0, 14, 8
-10.000, 2.300, 1630074.6, 525476.0, -265467.1, 189808.7, 0, 14, 7
-10.000, 2.340, 3429169.7, 796858.9, -180959.2, 257466.8, 0, 14, 7
-10.000, 2.380, 952912.2, 444257.3, -234037.5, 197846.7, 0, 14, 8
-10.000, 2.420, -111497.7, 275933.3, -182201.3, 99711.7, 0, 14, 7
-10.000, 2.460, 1665864.7, 1035169.6, -246525.1, 253969.4, 0, 14, 8
-10.000, 2.500, 1635263.0, 802358.6, -222226.2, 204929.3, 0, 14, 7
-10.000, 2.540, -892416.6, 707046.7, -298942.9, 212129.0, 0, 14, 8
-10.000, 2.580, -505750.5, 743650.8, -191395.2, 215570.2, 0, 14, 7
-10.000, 2.620, -1946614.4, 103821.0, -274496.2, 73181.1, 0, 14, 8
-10.000, 2.660, 1675392.2, 495709.9, -158278.7, 163899.3, 0, 14, 7
-10.000, 2.700, 170513.5, 452805.9, -240215.8, 197286.5, 0, 14, 7
-10.000, 2.740, -991543.3, 567427.4, -357090.7, 216237.6, 0, 14, 8
-10.000, 2.780, 79424.5, 760760.1, -324212.0, 219071.8, 0, 14, 7
-10.000, 2.820, -994650.5, 230511.8, -301135.0, 136478.7, 0, 14, 8
-10.000, 2.860, -733232.5, 424446.2, -258822.5, 158216.9, 0, 14, 7
-10.000, 2.900, -804718.0, 239765.6, -313743.5, 137704.5, 0, 14, 8
-10.000, 2.940, 370733.8, 396942.0, -308072.6, 182910.7, 0, 14, 7
