# 301 buckets with a mean size of 40.88 data points
center, bucket, max, min, std, peaks_nb, bucket_size
0.500, 4547.0, 301.7, 14.8, 71.4, 0, 41
0.530, 4967.4, 399.2, -15.6, 79.2, 0, 41
0.560, 4107.0, 305.0, -58.0, 80.6, 0, 41
0.590, 4928.5, 286.0, -7.0, 60.3, 0, 41
0.620, 4087.9, 311.7, -18.1, 70.2, 0, 41
0.650, 5022.1, 347.6, -74.5, 87.9, 0, 41
0.680, 4399.1, 288.8, 4.0, 61.3, 0, 40
0.710, 3974.0, 282.5, -85.1, 73.3, 0, 41
0.740, 4641.3, 319.7, -17.6, 88.6, 0, 41
0.770, 5066.1, 299.1, 57.1, 52.7, 0, 41
0.800, 5455.2, 311.6, 46.5, 73.1, 0, 41
0.830, 8745.0, 496.3, 71.1, 109.1, 0, 41
0.860, 29902.0, 2544.1, 329.4, 493.4, 1, 41
0.890, 20916.2, 987.3, 426.6, 131.8, 0, 41
0.920, 69255.4, 11063.7, 555.2, 2124.0, 2, 41
0.950, 3109983.6, 454919.8, 13699.0, 95207.4, 3, 40
0.980, 110341.0, 17477.3, 602.6, 3595.3, 0, 41
1.010, 22447.1, 1125.4, 330.8, 180.1, 0, 41
1.040, 49414.2, 3275.7, 889.1, 508.2, 1, 41
1.070, 42316.3, 2451.4, 768.7, 531.4, 1, 41
1.100, 462420.3, 34219.5, 2372.1, 10005.0, 3, 41
1.130, 3966750.1, 220453.9, 37473.1, 41205.1, 4, 41
1.160, 1928947.6, 121064.2, 3186.9, 42811.8, 4, 41
1.190, 45423.4, 2930.2, 683.6, 631.2, 0, 40
1.220, 33035.4, 1803.7, 630.0, 257.4, 0, 41
1.250, 26244.0, 1616.5, 361.5, 270.0, 0, 41
1.280, 33036.2, 2568.2, 443.7, 558.6, 1, 41
1.310, 17633.7, 821.2, 267.0, 140.5, 0, 41
1.340, 6973.9, 370.0, 48.0, 84.3, 0, 41
1.370, 3699.3, 211.4, 21.1, 43.4, 0, 41
1.400, 2124.8, 199.0, -52.8, 65.9, 0, 41
1.430, 3536.4, 277.9, -53.0, 87.6, 0, 40
1.460, 9702.9, 472.8, 94.2, 78.3, 0, 41
1.490, 6986.5, 372.7, 8.3, 76.2, 0, 41
1.520, 8010.9, 572.5, 55.4, 97.5, 0, 41
1.550, 40081.9, 5732.8, 124.7, 1342.0, 1, 41
1.580, 550363.1, 52237.6, 2222.5, 13142.4, 3, 41
1.610, 658872.5, 65035.7, 7110.8, 13791.5, 3, 41
1.640, 770595.4, 60657.6, 8596.5, 14621.5, 3, 41
1.670, 284363.5, 35039.3, 954.8, 8766.9, 3, 41
1.700, 35416.1, 1995.8, 754.3, 318.4, 0, 40
1.730, 48445.1, 1858.0, 1093.9, 225.5, 0, 41
1.760, 67409.1, 4359.1, 1098.8, 930.3, 1, 41
