# 51076 rectangular buckets with a mean size of 3.19 x 13.63 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
0.500, 0.500, 1547561.1, 5447.8, -2725.7, 2195.3, 0, 3, 13
0.500, 0.540, 2432684.9, 5688.6, -929.3, 1794.7, 0, 3, 14
0.500, 0.580, 2240084.2, 5355.5, 401.3, 1525.3, 0, 3, 14
0.500, 0.620, 2754290.4, 9436.4, -879.1, 3199.6, 0, 3, 13
0.500, 0.660, 3965715.8, 8375.2, 2490.3, 1783.7, 0, 3, 14
0.500, 0.700, 5825212.6, 14378.0, 4337.7, 2489.9, 0, 3, 14
0.500, 0.740, 5243013.2, 10888.1, 3968.8, 2054.6, 0, 3, 13
0.500, 0.780, 6348415.8, 13724.3, 5978.0, 2028.9, 0, 3, 14
0.500, 0.820, 9260410.9, 19457.4, 12400.1, 2013.9, 0, 3, 13
0.500, 0.860, 14708227.1, 31961.4, 16546.1, 4708.2, 0, 3, 14
0.500, 0.900, 26370915.4, 79366.3, 24377.8, 14432.9, 0, 3, 14
0.500, 0.940, 788914833.1, 3030104.2, 74529.9, 943922.9, 0, 3, 13
0.500, 0.980, 147976182.2, 995137.2, 29559.7, 301367.2, 0, 3, 14
0.500, 1.020, 12145593.1, 31100.0, 14521.1, 4680.9, 0, 3, 14
0.500, 1.060, 6369024.1, 14937.9, 8961.9, 1288.5, 0, 3, 13
0.500, 1.100, 28132144.5, 107776.9, 5990.8, 33662.7, 0, 3, 14
0.500, 1.140, 139890321.8, 294471.3, 125520.2, 44334.5, 0, 3, 13
0.500, 1.180, 19728927.7, 123795.3, 8345.2, 32817.9, 0, 3, 14
0.500, 1.220, 4243264.2, 9770.5, 3784.8, 1908.7, 0, 3, 14
0.500, 1.260, 1713932.0, 5509.0, -441.0, 1784.8, 0, 3, 13
0.500, 1.300, 712550.6, 4951.5, -1664.9, 1972.8, 0, 3, 14
0.500, 1.340, 770105.6, 4672.1, -2789.5, 1911.9, 0, 3, 14
0.500, 1.380, 1140539.7, 6095.8, -1681.0, 2413.6, 0, 3, 13
0.500, 1.420, 1071854.9, 3743.5, -1931.2, 1492.7, 0, 3, 14
0.500, 1.460, 2172061.0, 6089.2, 746.5, 1592.5, 0, 3, 13
0.500, 1.500, 3949394.4, 9138.6, 4835.2, 888.9, 0, 3, 14
0.500, 1.540, 9872426.7, 33916.5, 7976.2, 8423.8, 0, 3, 14
0.500, 1.580, 103977183.3, 265257.6, 51227.6, 71151.7, 0, 3, 13
0.500, 1.620, 116191028.1, 257107.0, 109339.4, 47883.8, 0, 3, 14
0.500, 1.660, 86048240.5, 264934.5, 25855.0, 78478.1, 0, 3, 14
0.500, 1.700, 6248054.2, 30693.9, 1680.8, 7239.3, 0, 3, 13
0.500, 1.740, 2791509.3, 8457.7, 3047.8, 1381.4, 0, 3, 14
0.500, 1.780, 14418185.3, 54986.5, 5055.1, 16912.9, 0, 3, 13
0.500, 1.820, 60139520.9, 237834.3, 25325.3, 65001.3, 0, 3, 14
0.500, 1.860, 55708307.6, 139894.3, 21051.6, 32113.5, 0, 3, 14
0.500, 1.900, 30432931.5, 86816.9, 16746.5, 21329.9, 0, 3, 13
0.500, 1.940, 33394148.7, 151775.8, 16360.2, 33262.3, 0, 3, 14
0.500, 1.980, 93080261.2, 280787.8, 20834.7, 91096.6, 0, 3, 14
0.500, 2.020, 8378983.7, 22272.1, 6653.5, 4355.6, 0, 3, 13
0.500, 2.060, 4909918.1, 10559.1, 4189.3, 1513.7, 0, 3, 14
0.500, 2.100, 4394145.0, 11893.2, 3375.1, 2505.9, 0, 3, 13
0.500, 2.140, -2710913.9, 4671.8, -24070.1, 9947.2, 0, 3, 14
0.500, 2.180, 1443329.1, 3151.5, 1129.4, 534.9, 0, 3, 14
0.500, 2.220, 669864.8, 2003.3, -464.2, 730.9, 0, 3, 13
0.500, 2.260, 964728.0, 3043.1, -1414.4, 960.9, 0, 3, 14
0.500, 2.300, 1438509.6, 4185.2, -298.1, 1313.4, 0, 3, 14
0.500, 2.340, 6820708.2, 49723.9, 1664.8, 12525.9, 0, 3, 13
0.500, 2.380, 38905159.7, 80576.6, 44463.4, 8610.4, 0, 3, 14
0.500, 2.420, 136351611.2, 418812.6, 60064.7, 112580.0, 0, 3, 13
0.500, 2.460, 51891879.9, 198743.6, 15171.7, 67532.1, 0, 3, 14
0.500, 2.500, 7392598.1, 22181.4, 2706.2, 4777.1, 0, 3, 14
0.500, 2.540, 3048952.4, 8946.3, 304.2, 2522.8, 0, 3, 13
0.500, 2.580, 1080387.3, 4989.3, -2056.7, 2400.9, 0, 3, 14
0.500, 2.620, -354026.0, 2799.5, -4167.2, 2240.0, 0, 3, 14
0.500, 2.660, -2146109.9, 2360.4, -13106.5, 3726.4, 0, 3, 13
0.500, 2.700, -12207053.2, 8147.5, -64812.3, 22901.5, 0, 3, 14
0.500, 2.740, -240352.2, 4066.3, -4221.8, 2216.5, 0, 3, 13
0.500, 2.780, -3107908.1, -2521.4, -7832.0, 1350.7, 0, 3, 14
0.500, 2.820, -6119355.1, -7397.8, -13598.5, 1408.5, 0, 3, 14
0.500, 2.860, -7595213.6, -9841.4, -13852.0, 979.8, 0, 3, 13
0.500, 2.900, -8842153.0, -10337.3, -18497.9, 1981.5, 0, 3, 14
0.500, 2.940, -11437587.9, -14845.2, -22427.1, 1965.9, 0, 3, 14
0.500, 2.980, -13540175.8, -16951.5, -28002.6, 2599.5, 0, 3, 13
0.500, 3.020, -15180197.7, -11665.0, -31645.4, 4425.0, 0, 3, 14
0.500, 3.060, -18442895.3, -23260.5, -35772.1, 2934.0, 0, 3, 13
0.500, 3.100, -21433419.5, -13070.6, -45032.4, 7528.7, 0, 3, 14
