# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, 1094634.1, 833464.7, -326645.8, 308525.5, 0, 14, 8
-10.000, 0.540, 1186262.0, 1074914.3, -266007.3, 340829.3, 0, 14, 7
-10.000, 0.580, 758252.9, 1053699.7, -403172.1, 373677.0, 0, 14, 8
-10.000, 0.620, 258400.3, 451919.5, -345141.5, 232108.3, 0, 14, 7
-10.000, 0.660, -453437.9, 596228.0, -332520.9, 238740.4, 0, 14, 8
-10.000, 0.700, -1426065.3, 430271.6, -365473.2, 151745.2, 0, 14, 7
-10.000, 0.740, 927263.3, 822318.5, -275714.3, 288059.1, 0, 14, 8
-10.000, 0.780, -1767664.1, 211315.8, -371041.5, 151582.2, 0, 14, 7
-10.000, 0.820, 855026.4, 758515.1, -282518.2, 213633.0, 0, 14, 7
-10.000, 0.860, 2123071.7, 544088.1, -209506.1, 191139.0, 0, 14, 8
-10.000, 0.900, 1929119.7, 590486.6, -267489.2, 221683.1, 0, 14, 7
-10.000, 0.940, 254077.3, 400709.6, -319048.5, 189015.9, 0, 14, 8
-10.000, 0.980, 12295.6, 482909.1, -264594.7, 177980.4, 0, 14, 7
-10.000, 1.020, -387970.1, 328395.4, -242688.7, 121123.7, 0, 14, 8
-10.000, 1.060, 2530486.7, 940797.5, -149095.4, 300964.7, 0, 14, 7
-10.000, 1.100, -498391.4, 304454.3, -286381.3, 127989.1, 0, 14, 8
-10.000, 1.140, 1082615.0, 449985.8, -345902.7, 228616.0, 0, 14, 7
-10.000, 1.180, 4647896.7, 1454881.6, -375533.3, 446583.3, 0, 14, 8
-10.000, 1.220, -2298703.0, 353963.0, -323756.8, 163095.1, 0, 14, 7
-10.000, 1.260, -1833946.5, 328837.6, -311550.8, 137250.1, 0, 14, 7
-10.000, 1.300, 1452447.4, 494180.3, -299868.2, 200399.4, 0, 14, 8
-10.000, 1.340, -386190.2, 310611.5, -227227.7, 142219.5, 0, 14, 7
-10.000, 1.380, 111196.1, 349049.1, -272289.7, 151970.2, 0, 14, 8
-10.000, 1.420, -568373.9, 466191.3, -261886.7, 158808.8, 0, 14, 7
-10.000, 1.460, -230291.7, 606819.0, -368862.7, 247108.2, 0, 14, 8
-10.000, 1.500, 4530140.1, 1535612.7, -473513.4, 533875.4, 0, 14, 7
-10.000, 1.540, -1756144.3, 373172.4, -471610.4, 182339.6, 0, 14, 8
-10.000, 1.580, 1364742.7, 635120.5, -262689.0, 260349.7, 0, 14, 7
-10.000, 1.620, -256607.0, 468318.4, -242596.1, 142994.9, 0, 14, 8
-10.000, 1.660, -1187822.4, 192819.3, -288910.6, 98494.3, 0, 14, 7
-10.000, 1.700, -1188265.6, 280615.4, -315500.0, 153339.1, 0, 14, 7
-10.000, 1.740, -225228.0, 468547.4, -298687.9, 186731.2, 0, 14, 8
-10.000, 1.780, 745249.3, 922662.6, -313612.0, 272814.7, 0, 14, 7
-10.000, 1.820, -273164.3, 602257.5, -238516.0, 158441.4, 0, 14, 8
-10.000, 1.860, -470285.9, 205043.2, -302167.2, 125627.2, 0, 14, 7
-10.000, 1.900, 182599.7, 765842.3, -270813.7, 198828.4, 0, 14, 8
-10.000, 1.940, -1280416.8, 568926.2, -299417.8, 184554.3, 0, 14, 7
-10.000, 1.980, -1140623.9, 351852.3, -311297.5, 171863.4, 0, 14, 8
-10.000, 2.020, 247635.0, 401794.2, -409180.5, 212210.3, 0, 14, 7
-10.000, 2.060, -431735.3, 799486.0, -363098.3, 242002.5, 0, 14, 7
-10.000, 2.100, -945531.3, 350368.7, -296634.8, 166925.7, 0, 14, 8
-10.000, 2.140, -59233.0, 339324.5, -284385.3, 140403.9, 0, 14, 7
-10.000, 2.180, -2395572.4, 60379.0, -347857.1, 90897.2, 0, 14, 8
-10.000, 2.220, 2315752.9, 588833.3, -149723.3, 214129.1, 0, 14, 7
-10.000, 2.260, 3978093.4, 1088084.4, -198844.3, 341412.4, 0, 14, 8
-10.000, 2.300, -1071917.3, 557728.7, -301110.0, 138748.5, 0, 14, 7
-10.000, 2.340, -2175132.1, 518571.9, -322246.5, 115873.9, 0, 14, 8
-10.000, 2.380, 2320108.8, 656976.1, -251331.9, 290113.7, 0, 14, 7
-10.000, 2.420, 187031.9, 355010.5, -256846.0, 150879.6, 0, 14, 8
-10.000, 2.460, 3446327.0, 792905.2, -107592.3, 227267.0, 0, 14, 7
-10.000, 2.500, -161987.9, 347891.2, -223720.7, 103450.9, 0, 14, 7
-10.000, 2.540, -1767808.9, 134421.9, -263891.4, 86279.3, 0, 14, 8
-10.000, 2.580, -2537049.3, 122344.9, -415653.2, 114237.6, 0, 14, 7
-10.000, 2.620, 4180044.3, 1380512.5, -310619.4, 422077.6, 0, 14, 8
-10.000, 2.660, -2266603.1, 418204.3, -355167.0, 143971.8, 0, 14, 7
-10.000, 2.700, -1389322.4, 652574.7, -504130.8, 244018.4, 0, 14, 8
-10.000, 2.740, -473664.3, 228697.7, -206633.7, 103690.6, 0, 14, 7
-10.000, 2.780, 1218127.3, 961139.2, -340621.4, 356293.5, 0, 14, 8
-10.000, 2.820, -1702232.8, 298431.0, -313880.9, 133394.1, 0, 14, 7
-10.000, 2.860, 1020685.1, 664827.1, -203973.4, 199057.4, 0, 14, 8
-10.000, 2.900, -495183.7, 280027.9, -235412.0, 135180.1, 0, 14, 7
-10.000, 2.940, 1022105.9, 570079.0, -271835.1, 227960.4, 0, 14, 7
-10.000, 2.980, 443437.1, 480584.9, -200222.0, 151095.3, 0, 14, 8
-10.000, 3.020, -229713.9, 417763.7, -328238.6, 202516.8, 0, 14, 7
-10.000, 3.060, -471339.8, 196577.0, -165212.5, 89067.8, 0, 14, 8
-10.000, 3.100, 18.2, 772896.0, -275835.0, 264111.5, 0, 14, 7
-10.000, 3.140, 2414644.6, 958939.7, -342083.8, 367452.6, 0, 14, 8
-10.000, 3.180, -2572833.2, 128769.3, -336961.2, 101390.3, 0, 14, 7
-10.000, 3.220, 536434.4, 379908.5, -241872.1, 166154.2, 0, 14, 8
-10.000, 3.260, -105258.9, 336127.3, -281261.5, 168234.7, 0, 14, 7
-10.000, 3.300, -2493633.0, 287730.3, -416141.3, 145707.4, 0, 14, 8
-10.000, 3.340, -6053669.4, 374964.2, -922502.7, 289354.8, 0, 14, 7
-10.000, 3.380, -100759.2, 280734.8, -290246.4, 151236.4, 0, 14, 7
-10.000, 3.420, -2080902.9, 257812.6, -389330.4, 137850.1, 0, 14, 8
-10.000, 3.460, 534003.7, 310399.2, -130303.3, 115776.5, 0, 14, 7
-10.000, 3.500, 1080412.5, 620220.3, -254407.1, 217867.4, 0, 14, 8
-10.000, 3.540, -468756.6, 244197.8, -245777.2, 110607.3, 0, 14, 7
-10.000, 3.580, 2316894.7, 992213.7, -263505.3, 374011.6, 0, 14, 8
-10.000, 3.620, 1534738.3, 490391.2, -166937.9, 155161.2, 0, 14, 7
-10.000, 3.660, -1237092.4, 198341.0, -251804.3, 98669.1, 0, 14, 8
-10.000, 3.700, 1114276.1, 409745.7, -247482.3, 142850.9, 0, 14, 7
-10.000, 3.740, -1005178.8, 376495.6, -341996.4, 140455.4, 0, 14, 8
-10.000, 3.780, -1676158.9, 398980.1, -315496.8, 104693.3, 0, 14, 7
-10.000, 3.820, -924144.1, 486148.7, -244996.4, 128687.1, 0, 14, 7
-10.000, 3.860, 930473.3, 1014744.5, -243443.5, 296500.5, 0, 14, 8
-10.000, 3.900, 420004.3, 504276.5, -218111.7, 183168.4, 0, 14, 7
-10.000, 3.940, -1037491.3, 411996.8, -441984.0, 182501.4, 0, 14, 8
-10.000, 3.980, 845331.6, 905216.5, -257562.9, 313902.7, 0, 14, 7
-10.000, 4.020, -1163278.5, 847240.5, -776103.9, 392862.5, 0, 14, 8
-10.000, 4.060, 2689819.8, 3374754.3, -551360.0, 891157.9, 0, 14, 7
-10.000, 4.100, 333470.2, 1243095.1, -284727.2, 234667.5, 0, 14, 8
-10.000, 4.140, 910830.1, 598147.5, -242071.0, 245996.1, 0, 14, 7
-10.000, 4.180, -600758.8, 460764.4, -226973.1, 133855.9, 0, 14, 7
-10.000, 4.220, -514051.3, 787307.5, -307410.3, 234910.0, 0, 14, 8
-10.000, 4.260, 85351.0, 783168.7, -245549.7, 237307.5, 0, 14, 7
-10.000, 4.300, 191749.5, 1035901.1, -332794.8, 325421.2, 0, 14, 8
-10.000, 4.340, -812783.8, 271945.5, -285571.5, 138689.7, 0, 14, 7
-10.000, 4.380, -1012497.1, 421705.4, -331552.5, 185868.4, 0, 14, 8
-10.000, 4.420, -696351.9, 210316.6, -274462.5, 130597.1, 0, 14, 7
-10.000, 4.460, -2597676.8, 161420.2, -438120.4, 155599.5, 0, 14, 8
-10.000, 4.500, 1371989.6, 477940.6, -241270.1, 185911.3, 0, 14, 7
-10.000, 4.540, 731377.9, 478858.9, -385549.7, 194434.0, 0, 14, 8
